key,rank,score,title,year,doi,venue,type,authors,found_via,providers,parent_keys,unresolved
doi:10.1002/(sici)1520-6297(199607/08)12:4<317::aid-agr2>3.0.co;2-1,1,0.000000,Issues concerning adoption and use of sales force automation in the agricultural input supply sector,1996,10.1002/(sici)1520-6297(199607/08)12:4<317::aid-agr2>3.0.co;2-1,Agribusiness,article,"Harris, Kim; Pike, John",backward,crossref|openalex,doi:10.1016/j.indmarman.2004.09.012|doi:10.1016/s0019-8501(99)00115-7|doi:10.1111/j.1468-2370.2006.00128.x,0
doi:10.1002/dir.20071,2,0.000000,Is e-marketing coming of age? An examination of the penetration of e-marketing and firm performance,2007,10.1002/dir.20071,Journal of Interactive Marketing,article,"Brodie, Roderick J.; Winklhofer, Heidi; Coviello, Nicole; Johnston, Wesley J.",backward,crossref|openalex,doi:10.1016/j.indmarman.2010.05.001|doi:10.2753/pss0885-3134300202,0
doi:10.1007/978-3-319-10951-0_231,3,0.000000,Barriers to the use of Mobile Sales Force Automation Systems. A Salesperson’s Perspective,2014,10.1007/978-3-319-10951-0_231,Developments in marketing science: proceedings of the Academy of Marketing Science,book-chapter,"Karjaluoto, Heikki; Sinisalo, Jaakko; Saraniemi, Saila; Töllinen, Aarne",backward,crossref|openalex,doi:10.1108/jsit-09-2014-0068,0
doi:10.1007/978-3-319-11927-4_62,4,0.000000,The Effect of Information Technology on Salesperson Performance,2014,10.1007/978-3-319-11927-4_62,Developments in marketing science: proceedings of the Academy of Marketing Science,book-chapter,"Schillewaert, Niels; Ahearne, Michael",backward,openalex,doi:10.2753/pss0885-3134290203,0
doi:10.1007/978-3-319-33609-1_2,5,0.000000,A Survey of Current Challenges in Manufacturing Industry and Preparation for Industry 4.0,2016,10.1007/978-3-319-33609-1_2,Advances in intelligent systems and computing,book-chapter,"Khan, Ateeq; Turowski, Klaus",backward,crossref|openalex,doi:10.1080/09537287.2019.1631468,0
doi:10.1007/978-3-319-74304-2_13,6,0.000000,The Role of Informational and Human Resource Capabilities for Enabling Diffusion of Big Data and Predictive Analytics and Ensuing Performance,2018,10.1007/978-3-319-74304-2_13,Contributions to management science,book-chapter,"Mishra, Deepa; Luo, Zongwei; Hazen, Benjamin T.",backward,crossref|openalex,doi:10.1016/j.indmarman.2020.10.012,0
doi:10.1007/978-3-322-84961-8_8,7,0.000000,Making every customer relationship count. Exploring the business drivers and technology enablers of customer relationship management,1999,10.1007/978-3-322-84961-8_8,,article,"Schmarzo, Bill",backward,openalex,doi:10.1080/08874417.2001.11647013,0
doi:10.1007/978-3-642-15606-9_1,8,0.000000,"Marketing and Artificial Intelligence: Great Opportunities, Reluctant Partners",2010,10.1007/978-3-642-15606-9_1,Studies in fuzziness and soft computing,book-chapter,"Wierenga, Berend",backward,crossref|openalex,doi:10.1016/j.indmarman.2013.03.001,0
doi:10.1007/978-3-658-04682-8_30,9,0.000000,Industrie 4.0-Readiness: Migration zur Industrie 4.0-Fertigung,2014,10.1007/978-3-658-04682-8_30,,book-chapter,"Bildstein, Andreas; Seidelmann, Joachim",backward,crossref|openalex,doi:10.1007/s11846-018-0283-2,0
doi:10.1007/978-3-658-04682-8_31,10,0.000000,Chancen von Industrie 4.0 nutzen,2014,10.1007/978-3-658-04682-8_31,,book-chapter,"Kagermann, Henning",backward,openalex,doi:10.1007/s12651-016-0200-6,0
doi:10.1007/978-3-658-08165-2_17,11,0.000000,Akzeptanzanalyse in der Industrie 4.0-Fabrik,2016,10.1007/978-3-658-08165-2_17,,book-chapter,"Ullrich, André; Vladova, Gergana; Gronau, Norbert; Jungbauer, Nicole",backward,crossref|openalex,doi:10.1007/s11846-018-0283-2,0
doi:10.1007/978-3-662-45915-7_15,12,0.000000,Zukunft der Arbeit in Industrie 4.0 – Neue Perspektiven und offene Fragen,2014,10.1007/978-3-662-45915-7_15,,book-chapter,"Botthof, Alfons; Hartmann, Ernst",backward,openalex,doi:10.1007/s11846-018-0283-2,0
doi:10.1007/978-3-8349-6618-6_27,13,0.000000,Adaptivität und Echtzeit in CRM-Prozessen,2011,10.1007/978-3-8349-6618-6_27,Gabler eBooks,book-chapter,"Grieser, Lukas; Wilde, Klaus D.",backward,crossref|openalex,doi:10.1007/s12599-017-0480-6,0
doi:10.1007/978-3-8349-6618-6_4,14,0.000000,IT-Unterstützung durch CRM-Systeme,2011,10.1007/978-3-8349-6618-6_4,Gabler eBooks,book-chapter,"Rentzmann, René; Hippner, Hajo; Hesse, Frank; Wilde, Klaus D.",backward,openalex,doi:10.1007/s12599-017-0480-6,0
doi:10.1007/bf02723403,15,0.000000,Expert systems: The integrative sales management tool of the future,1987,10.1007/bf02723403,Journal of the Academy of Marketing Science,article,"Steinberg, Margery; Plank, Richard E.",backward,openalex,doi:10.1108/08858620010311548,0
doi:10.1007/bf02723407,16,0.000000,An empirical study of factors influencing innovation implementation in industrial sales organizations,1992,10.1007/bf02723407,Journal of the Academy of Marketing Science,article,"Marshall, Judith; Vredenburg, Harrie",backward,crossref|openalex,doi:10.1016/s0019-8501(97)00059-x|doi:10.1016/s0737-6782(98)00044-7|doi:10.1111/1540-5885.1630295,0
doi:10.1007/s10479-020-03683-9,17,0.000000,Understanding artificial intelligence adoption in operations management: insights from the review of academic literature and social media discussions,2020,10.1007/s10479-020-03683-9,Annals of Operations Research,article,"Grover, Purva; Kar, Arpan Kumar; Dwivedi, Yogesh K.",backward,crossref|openalex,doi:10.1016/j.indmarman.2021.08.006,0
doi:10.1007/s11277-018-5612-x,18,0.000000,Advanced Business Model Innovation Supported by Artificial Intelligence and Deep Learning,2018,10.1007/s11277-018-5612-x,Wireless Personal Communications,article,"Valter, Per; Lindgren, Peter; Prasad, Ramjee",backward,crossref|openalex,doi:10.1108/bl-03-2020-0022|doi:10.3390/joitmc5030044,0
doi:10.1007/s11747-009-0157-x,19,0.000000,Social influence on salespeople’s adoption of sales technology: a multilevel analysis,2009,10.1007/s11747-009-0157-x,Journal of the Academy of Marketing Science,article,"Homburg, Christian; Wieseke, Jan; Kuehnl, Christina",backward,crossref|openalex,doi:10.1016/j.indmarman.2013.08.005|doi:10.1080/08853134.2018.1557525|doi:10.1108/jrim-12-2014-0075,0
doi:10.1007/s11747-019-00696-0,20,0.000000,How artificial intelligence will change the future of marketing,2019,10.1007/s11747-019-00696-0,Journal of the Academy of Marketing Science,article,"Davenport, Thomas H.; Guha, Abhijit; Grewal, Dhruv; Breßgott, Timna",backward,crossref|openalex,doi:10.1016/j.indmarman.2021.08.006,0
doi:10.1007/s11846-018-0283-2,21,0.000000,Managerial challenges of Industry 4.0: an empirically backed research agenda for a nascent field,2018,10.1007/s11846-018-0283-2,Review of Managerial Science,article,"Schneider, Paul",backward,crossref|openalex,doi:10.1080/09537287.2019.1631468,0
doi:10.1007/s12525-019-00351-0,22,0.000000,Supporting customer-oriented marketing with artificial intelligence: automatically quantifying customer needs from social media,2019,10.1007/s12525-019-00351-0,Electronic Markets,article,"Kühl, Niklas; Mühlthaler, Marius; Goutier, Marc",backward,crossref|openalex,doi:10.1007/s10479-020-03683-9,0
doi:10.1007/s12599-014-0334-4,23,0.000000,Industry 4.0,2014,10.1007/s12599-014-0334-4,Business & Information Systems Engineering,article,"Lasi, Heiner; Fettke, Peter; Kemper, Hans-Georg; Feld, Thomas; Hoffmann, Michael",backward,crossref|openalex,doi:10.1016/j.techfore.2017.12.019|doi:10.1080/00207543.2018.1444806,0
doi:10.1007/s12599-017-0480-6,24,0.000000,Intelligent Business Processes in CRM,2017,10.1007/s12599-017-0480-6,Business & Information Systems Engineering,article,"Zaby, Christopher; Wilde, Klaus D.",backward,crossref|openalex,doi:10.1016/j.indmarman.2021.08.006,0
doi:10.1007/s12651-016-0200-6,25,0.000000,Digitization of industrial work: development paths and prospects,2016,10.1007/s12651-016-0200-6,Journal for Labour Market Research,article,"Hirsch‐Kreinsen, Hartmut",backward,crossref|openalex,doi:10.1016/j.techfore.2017.12.019,0
doi:10.1016/0019-8501(96)00035-1,26,0.000000,The transformation of industrial selling: Causes and consequences,1996,10.1016/0019-8501(96)00035-1,Industrial Marketing Management,article,"Wotruba, Thomas R.",backward,crossref|openalex,doi:10.1080/08853134.2005.10749057|doi:10.1080/08853134.2018.1441718,0
doi:10.1016/0268-4012(90)90035-q,27,0.000000,Laptops and the marketing information chain: The benefits of salesforce automation,1990,10.1016/0268-4012(90)90035-q,International Journal of Information Management,article,"Cronin, B.E.; Davenport, Elisabeth",backward,crossref|openalex,doi:10.1111/j.1468-2370.2006.00128.x,0
doi:10.1016/0272-6963(84)90012-3,28,0.000000,Progress toward the “factory of the future”,1984,10.1016/0272-6963(84)90012-3,Journal of Operations Management,article,"Rosenthal, Stephen R.",seed,seed,,0
doi:10.1016/0737-6782(95)00026-p,29,0.000000,Development of novel products through intraorganizational and interorganizational networks the case of home automation,1995,10.1016/0737-6782(95)00026-p,Journal of Product Innovation Management,article,"Tidd, Joe",seed,seed,,0
doi:10.1016/j.bushor.2009.01.001,30,0.000000,Why is my sales force automation system failing?,2009,10.1016/j.bushor.2009.01.001,Business Horizons,article,"Barker, Robert M.; Gohmann, Stephan F.; Guan, Jian; Faulds, David J.",backward,crossref|openalex,doi:10.1016/j.indmarman.2013.08.005|doi:10.1080/08853134.2013.870184,0
doi:10.1016/j.bushor.2012.01.004,31,0.000000,Redirecting direct selling: High-touch embraces high-tech,2012,10.1016/j.bushor.2012.01.004,Business Horizons,article,"Ferrell, Linda; Ferrell, O. C.",backward,crossref|openalex,doi:10.1016/j.indmarman.2017.06.012,0
